year,exploration,formation_evaluation,wells,facility,abandonment
2016,0.00,0.00,7.22e7,4.07e7,0.00
2017,0.00,0.00,0.00,0.00,0.00
2018,0.00,0.00,0.00,0.00,0.00
2019,0.00,0.00,0.00,0.00,0.00
2020,0.00,0.00,0.00,0.00,0.00
2021,0.00,0.00,0.00,0.00,0.00
2022,0.00,0.00,0.00,0.00,0.00
2023,0.00,0.00,0.00,0.00,0.00
2024,0.00,0.00,0.00,0.00,0.00
2025,0.00,0.00,0.00,0.00,0.00
2026,0.00,0.00,0.00,0.00,0.00
2027,0.00,0.00,0.00,0.00,0.00
2028,0.00,0.00,0.00,0.00,0.00
2029,0.00,0.00,0.00,0.00,0.00
2030,0.00,0.00,0.00,0.00,0.00
2031,0.00,0.00,0.00,0.00,0.00
2032,0.00,0.00,0.00,0.00,0.00
2033,0.00,0.00,0.00,0.00,0.00
2034,0.00,0.00,0.00,0.00,0.00
2035,0.00,0.00,0.00,0.00,0.00
2036,0.00,0.00,0.00,0.00,0.00
2037,0.00,0.00,0.00,0.00,0.00
2038,0.00,0.00,0.00,0.00,0.00
2039,0.00,0.00,0.00,0.00,0.00
2040,0.00,0.00,0.00,0.00,0.00
2041,0.00,0.00,0.00,0.00,0.00
2042,0.00,0.00,0.00,0.00,0.00
2043,0.00,0.00,0.00,0.00,0.00
2044,0.00,0.00,0.00,0.00,0.00
2045,0.00,0.00,0.00,0.00,0.00
2046,0.00,0.00,0.00,0.00,3.26e7
  